State	County	Year	Population
Alabama	Autauga County	2010	54660
Alabama	Autauga County	2011	55253
Alabama	Autauga County	2012	55175
Alabama	Autauga County	2013	55038
Alabama	Autauga County	2014	55290
Alabama	Autauga County	2015	55347
Alabama	Autauga County	2010	21223
Alabama	Autauga County	2011	21283
Alabama	Autauga County	2012	21165
Alabama	Autauga County	2013	20774
Alabama	Autauga County	2014	20770
Alabama	Autauga County	2015	20686
Alabama	Baldwin County	2010	183193
Alabama	Baldwin County	2011	186659
Alabama	Baldwin County	2012	190396
Alabama	Baldwin County	2013	195126
Alabama	Baldwin County	2014	199713
Alabama	Baldwin County	2015	203709
Alabama	Baldwin County	2010	88422
Alabama	Baldwin County	2011	89855
Alabama	Baldwin County	2012	91398
Alabama	Baldwin County	2013	93107
Alabama	Baldwin County	2014	94759
Alabama	Baldwin County	2015	96059
Alabama	Barbour County	2010	27341
Alabama	Barbour County	2011	27226
Alabama	Barbour County	2012	27159
Alabama	Barbour County	2013	26973
Alabama	Barbour County	2014	26815
Alabama	Barbour County	2015	26489
Alabama	Barbour County	2010	8986
Alabama	Barbour County	2011	8896
Alabama	Barbour County	2012	8835
Alabama	Barbour County	2013	8779
Alabama	Barbour County	2014	8698
Alabama	Barbour County	2015	8595
Alabama	Bibb County	2010	22861
Alabama	Bibb County	2011	22733
Alabama	Bibb County	2012	22642
Alabama	Bibb County	2013	22512
Alabama	Bibb County	2014	22549
Alabama	Bibb County	2015	22583
Alabama	Bibb County	2010	12498
Alabama	Bibb County	2011	12411
Alabama	Bibb County	2012	12343
Alabama	Bibb County	2013	12244
Alabama	Bibb County	2014	12238
Alabama	Bibb County	2015	12232
Alabama	Blount County	2010	57373
Alabama	Blount County	2011	57711
Alabama	Blount County	2012	57776
Alabama	Blount County	2013	57734
Alabama	Blount County	2014	57658
Alabama	Blount County	2015	57673
Alabama	Blount County	2010	41769
Alabama	Blount County	2011	41989
Alabama	Blount County	2012	42037
Alabama	Blount County	2013	41999
Alabama	Blount County	2014	41940
Alabama	Blount County	2015	41953
Alabama	Bullock County	2010	10887
Alabama	Bullock County	2011	10629
Alabama	Bullock County	2012	10606
Alabama	Bullock County	2013	10628
Alabama	Bullock County	2014	10829
Alabama	Bullock County	2015	10696
Alabama	Bullock County	2010	6423
Alabama	Bullock County	2011	6280
Alabama	Bullock County	2012	6221
Alabama	Bullock County	2013	6261
Alabama	Bullock County	2014	6358
Alabama	Bullock County	2015	6289
Alabama	Butler County	2010	20944
Alabama	Butler County	2011	20673
Alabama	Butler County	2012	20408
Alabama	Butler County	2013	20261
Alabama	Butler County	2014	20276
Alabama	Butler County	2015	20154
Alabama	Butler County	2010	10551
Alabama	Butler County	2011	10411
Alabama	Butler County	2012	10269
Alabama	Butler County	2013	10186
Alabama	Butler County	2014	10196
Alabama	Butler County	2015	10137
Alabama	Calhoun County	2010	118437
Alabama	Calhoun County	2011	117768
Alabama	Calhoun County	2012	117286
Alabama	Calhoun County	2013	116575
Alabama	Calhoun County	2014	115993
Alabama	Calhoun County	2015	115620
Alabama	Calhoun County	2010	55563
Alabama	Calhoun County	2011	55197
Alabama	Calhoun County	2012	54895
Alabama	Calhoun County	2013	54587
Alabama	Calhoun County	2014	54301
Alabama	Calhoun County	2015	54056
Alabama	Chambers County	2010	34098
Alabama	Chambers County	2011	33993
Alabama	Chambers County	2012	34075
Alabama	Chambers County	2013	34153
Alabama	Chambers County	2014	34052
Alabama	Chambers County	2015	34123
Alabama	Chambers County	2010	14827
Alabama	Chambers County	2011	14778
Alabama	Chambers County	2012	14823
Alabama	Chambers County	2013	14857
Alabama	Chambers County	2014	14819
Alabama	Chambers County	2015	14853
Alabama	Cherokee County	2010	25976
Alabama	Cherokee County	2011	26080
Alabama	Cherokee County	2012	26023
Alabama	Cherokee County	2013	26084
Alabama	Cherokee County	2014	25995
Alabama	Cherokee County	2015	25859
Alabama	Cherokee County	2010	18940
Alabama	Cherokee County	2011	19011
Alabama	Cherokee County	2012	18908
Alabama	Cherokee County	2013	18943
Alabama	Cherokee County	2014	18874
Alabama	Cherokee County	2015	18776
Alabama	Chilton County	2010	43665
Alabama	Chilton County	2011	43739
Alabama	Chilton County	2012	43697
Alabama	Chilton County	2013	43795
Alabama	Chilton County	2014	43921
Alabama	Chilton County	2015	43943
Alabama	Chilton County	2010	29620
Alabama	Chilton County	2011	29645
Alabama	Chilton County	2012	29603
Alabama	Chilton County	2013	29650
Alabama	Chilton County	2014	29720
Alabama	Chilton County	2015	29631
Alabama	Choctaw County	2010	13841
Alabama	Choctaw County	2011	13593
Alabama	Choctaw County	2012	13543
Alabama	Choctaw County	2013	13378
Alabama	Choctaw County	2014	13289
Alabama	Choctaw County	2015	13170
Alabama	Choctaw County	2010	10297
Alabama	Choctaw County	2011	10109
Alabama	Choctaw County	2012	10074
Alabama	Choctaw County	2013	9950
Alabama	Choctaw County	2014	9884
Alabama	Choctaw County	2015	9798
Alabama	Clarke County	2010	25767
Alabama	Clarke County	2011	25570
Alabama	Clarke County	2012	25144
Alabama	Clarke County	2013	25116
Alabama	Clarke County	2014	24847
Alabama	Clarke County	2015	24675
Alabama	Clarke County	2010	14176
Alabama	Clarke County	2011	14067
Alabama	Clarke County	2012	13835
Alabama	Clarke County	2013	13818
Alabama	Clarke County	2014	13662
Alabama	Clarke County	2015	13564
Alabama	Clay County	2010	13880
Alabama	Clay County	2011	13670
Alabama	Clay County	2012	13456
Alabama	Clay County	2013	13467
Alabama	Clay County	2014	13538
Alabama	Clay County	2015	13555
Alabama	Clay County	2010	9465
Alabama	Clay County	2011	9320
Alabama	Clay County	2012	9174
Alabama	Clay County	2013	9185
Alabama	Clay County	2014	9238
Alabama	Clay County	2015	9253
Alabama	Cleburne County	2010	14973
Alabama	Cleburne County	2011	14971
Alabama	Cleburne County	2012	14921
Alabama	Cleburne County	2013	15028
Alabama	Cleburne County	2014	15072
Alabama	Cleburne County	2015	15018
Alabama	Cleburne County	2010	10598
Alabama	Cleburne County	2011	10585
Alabama	Cleburne County	2012	10551
Alabama	Cleburne County	2013	10628
Alabama	Cleburne County	2014	10661
Alabama	Cleburne County	2015	10624
Alabama	Coffee County	2010	50177
Alabama	Coffee County	2011	50448
Alabama	Coffee County	2012	51173
Alabama	Coffee County	2013	50755
Alabama	Coffee County	2014	50831
Alabama	Coffee County	2015	51211
Alabama	Coffee County	2010	18243
Alabama	Coffee County	2011	18158
Alabama	Coffee County	2012	18260
Alabama	Coffee County	2013	18044
Alabama	Coffee County	2014	18014
Alabama	Coffee County	2015	18115
Alabama	Colbert County	2010	54514
Alabama	Colbert County	2011	54443
Alabama	Colbert County	2012	54472
Alabama	Colbert County	2013	54471
Alabama	Colbert County	2014	54480
Alabama	Colbert County	2015	54354
Alabama	Colbert County	2010	20887
Alabama	Colbert County	2011	20799
Alabama	Colbert County	2012	20727
Alabama	Colbert County	2013	20610
Alabama	Colbert County	2014	20494
Alabama	Colbert County	2015	20350
Alabama	Conecuh County	2010	13208
Alabama	Conecuh County	2011	13121
Alabama	Conecuh County	2012	12996
Alabama	Conecuh County	2013	12875
Alabama	Conecuh County	2014	12662
Alabama	Conecuh County	2015	12672
Alabama	Conecuh County	2010	8386
Alabama	Conecuh County	2011	8331
Alabama	Conecuh County	2012	8254
Alabama	Conecuh County	2013	8180
Alabama	Conecuh County	2014	8046
Alabama	Conecuh County	2015	8053
Alabama	Coosa County	2010	11758
Alabama	Coosa County	2011	11348
Alabama	Coosa County	2012	11195
Alabama	Coosa County	2013	11059
Alabama	Coosa County	2014	10807
Alabama	Coosa County	2015	10724
Alabama	Coosa County	2010	9589
Alabama	Coosa County	2011	9250
Alabama	Coosa County	2012	9127
Alabama	Coosa County	2013	9019
Alabama	Coosa County	2014	8798
Alabama	Coosa County	2015	8732
Alabama	Covington County	2010	37796
Alabama	Covington County	2011	38060
Alabama	Covington County	2012	37818
Alabama	Covington County	2013	37830
Alabama	Covington County	2014	37888
Alabama	Covington County	2015	37835
Alabama	Covington County	2010	16445
Alabama	Covington County	2011	16558
Alabama	Covington County	2012	16446
Alabama	Covington County	2013	16445
Alabama	Covington County	2014	16462
Alabama	Covington County	2015	16443
Alabama	Crenshaw County	2010	13853
Alabama	Crenshaw County	2011	13896
Alabama	Crenshaw County	2012	13951
Alabama	Crenshaw County	2013	13932
Alabama	Crenshaw County	2014	13948
Alabama	Crenshaw County	2015	13963
Alabama	Crenshaw County	2010	9225
Alabama	Crenshaw County	2011	9254
Alabama	Crenshaw County	2012	9283
Alabama	Crenshaw County	2013	9267
Alabama	Crenshaw County	2014	9274
Alabama	Crenshaw County	2015	9285
Alabama	Cullman County	2010	80473
Alabama	Cullman County	2011	80469
Alabama	Cullman County	2012	80374
Alabama	Cullman County	2013	80756
Alabama	Cullman County	2014	81221
Alabama	Cullman County	2015	82005
Alabama	Cullman County	2010	55696
Alabama	Cullman County	2011	55673
Alabama	Cullman County	2012	55532
Alabama	Cullman County	2013	55746
Alabama	Cullman County	2014	55994
Alabama	Cullman County	2015	56451
Alabama	Dale County	2010	50358
Alabama	Dale County	2011	50109
Alabama	Dale County	2012	50324
Alabama	Dale County	2013	49833
Alabama	Dale County	2014	49501
Alabama	Dale County	2015	49565
Alabama	Dale County	2010	19730
Alabama	Dale County	2011	19532
Alabama	Dale County	2012	19605
Alabama	Dale County	2013	19364
Alabama	Dale County	2014	19233
Alabama	Dale County	2015	19257
Alabama	Dallas County	2010	43803
Alabama	Dallas County	2011	43178
Alabama	Dallas County	2012	42777
Alabama	Dallas County	2013	42021
Alabama	Dallas County	2014	41662
Alabama	Dallas County	2015	41131
Alabama	Dallas County	2010	18828
Alabama	Dallas County	2011	18487
Alabama	Dallas County	2012	18361
Alabama	Dallas County	2013	18023
Alabama	Dallas County	2014	17806
Alabama	Dallas County	2015	17573
Alabama	DeKalb County	2010	71142
Alabama	DeKalb County	2011	71387
Alabama	DeKalb County	2012	70942
Alabama	DeKalb County	2013	70869
Alabama	DeKalb County	2014	71012
Alabama	DeKalb County	2015	71130
Alabama	DeKalb County	2010	38312
Alabama	DeKalb County	2011	38420
Alabama	DeKalb County	2012	38168
Alabama	DeKalb County	2013	38115
Alabama	DeKalb County	2014	38174
Alabama	DeKalb County	2015	38219
Alabama	Elmore County	2010	79465
Alabama	Elmore County	2011	80012
Alabama	Elmore County	2012	80432
Alabama	Elmore County	2013	80883
Alabama	Elmore County	2014	81022
Alabama	Elmore County	2015	81468
Alabama	Elmore County	2010	48656
Alabama	Elmore County	2011	48831
Alabama	Elmore County	2012	48910
Alabama	Elmore County	2013	48876
Alabama	Elmore County	2014	48657
Alabama	Elmore County	2015	48597
Alabama	Escambia County	2010	38309
Alabama	Escambia County	2011	38213
Alabama	Escambia County	2012	38034
Alabama	Escambia County	2013	37857
Alabama	Escambia County	2014	37784
Alabama	Escambia County	2015	37789
Alabama	Escambia County	2010	18480
Alabama	Escambia County	2011	18396
Alabama	Escambia County	2012	18301
Alabama	Escambia County	2013	18246
Alabama	Escambia County	2014	18171
Alabama	Escambia County	2015	18159
Alabama	Etowah County	2010	104442
Alabama	Etowah County	2011	104236
Alabama	Etowah County	2012	104235
Alabama	Etowah County	2013	103852
Alabama	Etowah County	2014	103452
Alabama	Etowah County	2015	103057
Alabama	Etowah County	2010	29045
Alabama	Etowah County	2011	28939
Alabama	Etowah County	2012	28904
Alabama	Etowah County	2013	28758
Alabama	Etowah County	2014	28623
Alabama	Etowah County	2015	28494
Alabama	Fayette County	2010	17231
Alabama	Fayette County	2011	17062
Alabama	Fayette County	2012	16960
Alabama	Fayette County	2013	16857
Alabama	Fayette County	2014	16842
Alabama	Fayette County	2015	16759
Alabama	Fayette County	2010	10024
Alabama	Fayette County	2011	9922
Alabama	Fayette County	2012	9862
Alabama	Fayette County	2013	9803
Alabama	Fayette County	2014	9795
Alabama	Fayette County	2015	9751
Alabama	Franklin County	2010	31734
Alabama	Franklin County	2011	31729
Alabama	Franklin County	2012	31648
Alabama	Franklin County	2013	31507
Alabama	Franklin County	2014	31592
Alabama	Franklin County	2015	31696
Alabama	Franklin County	2010	16935
Alabama	Franklin County	2011	16926
Alabama	Franklin County	2012	16855
Alabama	Franklin County	2013	16778
Alabama	Franklin County	2014	16790
Alabama	Franklin County	2015	16841
Alabama	Geneva County	2010	26795
Alabama	Geneva County	2011	26832
Alabama	Geneva County	2012	27006
Alabama	Geneva County	2013	26752
Alabama	Geneva County	2014	26707
Alabama	Geneva County	2015	26777
Alabama	Geneva County	2010	13901
Alabama	Geneva County	2011	13910
Alabama	Geneva County	2012	13998
Alabama	Geneva County	2013	13867
Alabama	Geneva County	2014	13844
Alabama	Geneva County	2015	13880
Alabama	Greene County	2010	9001
Alabama	Greene County	2011	8910
Alabama	Greene County	2012	8835
Alabama	Greene County	2013	8706
Alabama	Greene County	2014	8553
Alabama	Greene County	2015	8479
Alabama	Greene County	2010	4877
Alabama	Greene County	2011	4825
Alabama	Greene County	2012	4782
Alabama	Greene County	2013	4708
Alabama	Greene County	2014	4623
Alabama	Greene County	2015	4580
Alabama	Hale County	2010	15735
Alabama	Hale County	2011	15364
Alabama	Hale County	2012	15401
Alabama	Hale County	2013	15316
Alabama	Hale County	2014	15131
Alabama	Hale County	2015	15068
Alabama	Hale County	2010	10996
Alabama	Hale County	2011	10715
Alabama	Hale County	2012	10733
Alabama	Hale County	2013	10651
Alabama	Hale County	2014	10503
Alabama	Hale County	2015	10454
Alabama	Henry County	2010	17292
Alabama	Henry County	2011	17407
Alabama	Henry County	2012	17249
Alabama	Henry County	2013	17206
Alabama	Henry County	2014	17176
Alabama	Henry County	2015	17221
Alabama	Henry County	2010	9432
Alabama	Henry County	2011	9444
Alabama	Henry County	2012	9312
Alabama	Henry County	2013	9263
Alabama	Henry County	2014	9229
Alabama	Henry County	2015	9237
Alabama	Houston County	2010	101783
Alabama	Houston County	2011	102422
Alabama	Houston County	2012	103355
Alabama	Houston County	2013	103610
Alabama	Houston County	2014	104110
Alabama	Houston County	2015	104173
Alabama	Houston County	2010	22311
Alabama	Houston County	2011	22334
Alabama	Houston County	2012	22436
Alabama	Houston County	2013	22246
Alabama	Houston County	2014	22183
Alabama	Houston County	2015	22050
Alabama	Jackson County	2010	53179
Alabama	Jackson County	2011	53264
Alabama	Jackson County	2012	53064
Alabama	Jackson County	2013	52921
Alabama	Jackson County	2014	52631
Alabama	Jackson County	2015	52419
Alabama	Jackson County	2010	28295
Alabama	Jackson County	2011	28328
Alabama	Jackson County	2012	28196
Alabama	Jackson County	2013	28108
Alabama	Jackson County	2014	27929
Alabama	Jackson County	2015	27787
Alabama	Jefferson County	2010	658116
Alabama	Jefferson County	2011	657779
Alabama	Jefferson County	2012	657704
Alabama	Jefferson County	2013	658913
Alabama	Jefferson County	2014	660368
Alabama	Jefferson County	2015	660367
Alabama	Jefferson County	2010	107753
Alabama	Jefferson County	2011	107615
Alabama	Jefferson County	2012	107442
Alabama	Jefferson County	2013	107324
Alabama	Jefferson County	2014	107425
Alabama	Jefferson County	2015	107147
Alabama	Lamar County	2010	14495
Alabama	Lamar County	2011	14292
Alabama	Lamar County	2012	14252
Alabama	Lamar County	2013	14187
Alabama	Lamar County	2014	14050
Alabama	Lamar County	2015	13886
Alabama	Lamar County	2010	8667
Alabama	Lamar County	2011	8545
Alabama	Lamar County	2012	8521
Alabama	Lamar County	2013	8482
Alabama	Lamar County	2014	8402
Alabama	Lamar County	2015	8307
Alabama	Lauderdale County	2010	92747
Alabama	Lauderdale County	2011	92618
Alabama	Lauderdale County	2012	92680
Alabama	Lauderdale County	2013	92729
Alabama	Lauderdale County	2014	93063
Alabama	Lauderdale County	2015	92596
Alabama	Lauderdale County	2010	49497
Alabama	Lauderdale County	2011	49322
Alabama	Lauderdale County	2012	49154
Alabama	Lauderdale County	2013	48932
Alabama	Lauderdale County	2014	48961
Alabama	Lauderdale County	2015	48692
Alabama	Lawrence County	2010	34305
Alabama	Lawrence County	2011	34045
Alabama	Lawrence County	2012	33776
Alabama	Lawrence County	2013	33567
Alabama	Lawrence County	2014	33426
Alabama	Lawrence County	2015	33115
Alabama	Lawrence County	2010	27946
Alabama	Lawrence County	2011	27734
Alabama	Lawrence County	2012	27517
Alabama	Lawrence County	2013	27347
Alabama	Lawrence County	2014	27235
Alabama	Lawrence County	2015	26985
Alabama	Lee County	2010	140782
Alabama	Lee County	2011	144087
Alabama	Lee County	2012	147899
Alabama	Lee County	2013	151506
Alabama	Lee County	2014	154426
Alabama	Lee County	2015	156993
Alabama	Lee County	2010	51154
Alabama	Lee County	2011	51970
Alabama	Lee County	2012	52942
Alabama	Lee County	2013	53759
Alabama	Lee County	2014	54353
Alabama	Lee County	2015	54914
Alabama	Limestone County	2010	83163
Alabama	Limestone County	2011	85557
Alabama	Limestone County	2012	87321
Alabama	Limestone County	2013	88870
Alabama	Limestone County	2014	90612
Alabama	Limestone County	2015	91663
Alabama	Limestone County	2010	54229
Alabama	Limestone County	2011	55572
Alabama	Limestone County	2012	56467
Alabama	Limestone County	2013	57346
Alabama	Limestone County	2014	58252
Alabama	Limestone County	2015	58675
Alabama	Lowndes County	2010	11275
Alabama	Lowndes County	2011	11119
Alabama	Lowndes County	2012	10852
Alabama	Lowndes County	2013	10725
Alabama	Lowndes County	2014	10555
Alabama	Lowndes County	2015	10458
Alabama	Lowndes County	2010	6609
Alabama	Lowndes County	2011	6516
Alabama	Lowndes County	2012	6361
Alabama	Lowndes County	2013	6287
Alabama	Lowndes County	2014	6187
Alabama	Lowndes County	2015	6132
Alabama	Macon County	2010	21545
Alabama	Macon County	2011	21269
Alabama	Macon County	2012	20479
Alabama	Macon County	2013	19852
Alabama	Macon County	2014	19387
Alabama	Macon County	2015	19105
Alabama	Macon County	2010	10168
Alabama	Macon County	2011	9988
Alabama	Macon County	2012	9648
Alabama	Macon County	2013	9285
Alabama	Macon County	2014	9095
Alabama	Macon County	2015	8950
Alabama	Madison County	2010	336138
Alabama	Madison County	2011	339574
Alabama	Madison County	2012	342696
Alabama	Madison County	2013	346720
Alabama	Madison County	2014	350112
Alabama	Madison County	2015	353089
Alabama	Madison County	2010	111329
Alabama	Madison County	2011	112801
Alabama	Madison County	2012	113694
Alabama	Madison County	2013	114645
Alabama	Madison County	2014	115394
Alabama	Madison County	2015	115575
Alabama	Marengo County	2010	20942
Alabama	Marengo County	2011	20708
Alabama	Marengo County	2012	20449
Alabama	Marengo County	2013	20210
Alabama	Marengo County	2014	20136
Alabama	Marengo County	2015	20028
Alabama	Marengo County	2010	10202
Alabama	Marengo County	2011	10055
Alabama	Marengo County	2012	9928
Alabama	Marengo County	2013	9812
Alabama	Marengo County	2014	9777
Alabama	Marengo County	2015	9729
Alabama	Marion County	2010	30800
Alabama	Marion County	2011	30727
Alabama	Marion County	2012	30515
Alabama	Marion County	2013	30278
Alabama	Marion County	2014	30246
Alabama	Marion County	2015	30168
Alabama	Marion County	2010	13484
Alabama	Marion County	2011	13444
Alabama	Marion County	2012	13343
Alabama	Marion County	2013	13227
Alabama	Marion County	2014	13209
Alabama	Marion County	2015	13175
Alabama	Marshall County	2010	93146
Alabama	Marshall County	2011	93906
Alabama	Marshall County	2012	94228
Alabama	Marshall County	2013	94377
Alabama	Marshall County	2014	94356
Alabama	Marshall County	2015	94725
Alabama	Marshall County	2010	45612
Alabama	Marshall County	2011	45952
Alabama	Marshall County	2012	46075
Alabama	Marshall County	2013	46124
Alabama	Marshall County	2014	46094
Alabama	Marshall County	2015	46275
Alabama	Mobile County	2010	413332
Alabama	Mobile County	2011	413062
Alabama	Mobile County	2012	413750
Alabama	Mobile County	2013	414121
Alabama	Mobile County	2014	414926
Alabama	Mobile County	2015	415395
Alabama	Mobile County	2010	154887
Alabama	Mobile County	2011	155271
Alabama	Mobile County	2012	156002
Alabama	Mobile County	2013	156306
Alabama	Mobile County	2014	157123
Alabama	Mobile County	2015	157596
Alabama	Monroe County	2010	22982
Alabama	Monroe County	2011	22776
Alabama	Monroe County	2012	22585
Alabama	Monroe County	2013	22154
Alabama	Monroe County	2014	21897
Alabama	Monroe County	2015	21673
Alabama	Monroe County	2010	13870
Alabama	Monroe County	2011	13746
Alabama	Monroe County	2012	13635
Alabama	Monroe County	2013	13374
Alabama	Monroe County	2014	13219
Alabama	Monroe County	2015	13088
Alabama	Montgomery County	2010	229723
Alabama	Montgomery County	2011	231496
Alabama	Montgomery County	2012	229286
Alabama	Montgomery County	2013	227000
Alabama	Montgomery County	2014	226389
Alabama	Montgomery County	2015	226519
Alabama	Montgomery County	2010	18361
Alabama	Montgomery County	2011	18472
Alabama	Montgomery County	2012	18185
Alabama	Montgomery County	2013	17859
Alabama	Montgomery County	2014	17738
Alabama	Montgomery County	2015	17643
Alabama	Morgan County	2010	119603
Alabama	Morgan County	2011	119945
Alabama	Morgan County	2012	120112
Alabama	Morgan County	2013	119654
Alabama	Morgan County	2014	119656
Alabama	Morgan County	2015	119565
Alabama	Morgan County	2010	42383
Alabama	Morgan County	2011	42365
Alabama	Morgan County	2012	42384
Alabama	Morgan County	2013	42114
Alabama	Morgan County	2014	42013
Alabama	Morgan County	2015	41896
Alabama	Perry County	2010	10540
Alabama	Perry County	2011	10510
Alabama	Perry County	2012	10180
Alabama	Perry County	2013	9993
Alabama	Perry County	2014	9855
Alabama	Perry County	2015	9652
Alabama	Perry County	2010	4183
Alabama	Perry County	2011	4162
Alabama	Perry County	2012	4017
Alabama	Perry County	2013	3941
Alabama	Perry County	2014	3874
Alabama	Perry County	2015	3790
Alabama	Pickens County	2010	19716
Alabama	Pickens County	2011	19359
Alabama	Pickens County	2012	19355
Alabama	Pickens County	2013	19365
Alabama	Pickens County	2014	20339
Alabama	Pickens County	2015	20864
Alabama	Pickens County	2010	12057
Alabama	Pickens County	2011	11834
Alabama	Pickens County	2012	11832
Alabama	Pickens County	2013	11905
Alabama	Pickens County	2014	12952
Alabama	Pickens County	2015	13484
Alabama	Pike County	2010	32957
Alabama	Pike County	2011	32903
Alabama	Pike County	2012	33105
Alabama	Pike County	2013	33630
Alabama	Pike County	2014	33090
Alabama	Pike County	2015	33046
Alabama	Pike County	2010	12208
Alabama	Pike County	2011	12167
Alabama	Pike County	2012	12228
Alabama	Pike County	2013	11957
Alabama	Pike County	2014	11816
Alabama	Pike County	2015	11773
Alabama	Randolph County	2010	22891
Alabama	Randolph County	2011	22802
Alabama	Randolph County	2012	22628
Alabama	Randolph County	2013	22630
Alabama	Randolph County	2014	22486
Alabama	Randolph County	2015	22696
Alabama	Randolph County	2010	15068
Alabama	Randolph County	2011	15007
Alabama	Randolph County	2012	14891
Alabama	Randolph County	2013	14899
Alabama	Randolph County	2014	14812
Alabama	Randolph County	2015	14961
Alabama	Russell County	2010	53297
Alabama	Russell County	2011	54869
Alabama	Russell County	2012	57771
Alabama	Russell County	2013	59497
Alabama	Russell County	2014	59712
Alabama	Russell County	2015	59660
Alabama	Russell County	2010	23753
Alabama	Russell County	2011	24219
Alabama	Russell County	2012	25548
Alabama	Russell County	2013	26281
Alabama	Russell County	2014	26342
Alabama	Russell County	2015	26364
Alabama	St. Clair County	2010	83812
Alabama	St. Clair County	2011	84317
Alabama	St. Clair County	2012	85160
Alabama	St. Clair County	2013	86210
Alabama	St. Clair County	2014	86561
Alabama	St. Clair County	2015	87074
Alabama	St. Clair County	2010	33705
Alabama	St. Clair County	2011	33792
Alabama	St. Clair County	2012	33981
Alabama	St. Clair County	2013	34295
Alabama	St. Clair County	2014	34309
Alabama	St. Clair County	2015	34430
Alabama	Shelby County	2010	196048
Alabama	Shelby County	2011	197985
Alabama	Shelby County	2012	200830
Alabama	Shelby County	2013	203925
Alabama	Shelby County	2014	206199
Alabama	Shelby County	2015	208713
Alabama	Shelby County	2010	61455
Alabama	Shelby County	2011	61870
Alabama	Shelby County	2012	62524
Alabama	Shelby County	2013	63608
Alabama	Shelby County	2014	64080
Alabama	Shelby County	2015	64436
Alabama	Sumter County	2010	13740
Alabama	Sumter County	2011	13508
Alabama	Sumter County	2012	13451
Alabama	Sumter County	2013	13402
Alabama	Sumter County	2014	13243
Alabama	Sumter County	2015	13103
Alabama	Sumter County	2010	6778
Alabama	Sumter County	2011	6606
Alabama	Sumter County	2012	6542
Alabama	Sumter County	2013	6525
Alabama	Sumter County	2014	6450
Alabama	Sumter County	2015	6378
Alabama	Talladega County	2010	82071
Alabama	Talladega County	2011	81821
Alabama	Talladega County	2012	81931
Alabama	Talladega County	2013	81314
Alabama	Talladega County	2014	81258
Alabama	Talladega County	2015	80862
Alabama	Talladega County	2010	35265
Alabama	Talladega County	2011	35035
Alabama	Talladega County	2012	34967
Alabama	Talladega County	2013	34779
Alabama	Talladega County	2014	34611
Alabama	Talladega County	2015	34432
Alabama	Tallapoosa County	2010	41502
Alabama	Tallapoosa County	2011	41453
Alabama	Tallapoosa County	2012	41163
Alabama	Tallapoosa County	2013	41191
Alabama	Tallapoosa County	2014	41112
Alabama	Tallapoosa County	2015	40844
Alabama	Tallapoosa County	2010	18872
Alabama	Tallapoosa County	2011	18853
Alabama	Tallapoosa County	2012	18703
Alabama	Tallapoosa County	2013	18643
Alabama	Tallapoosa County	2014	18590
Alabama	Tallapoosa County	2015	18503
Alabama	Tuscaloosa County	2010	194977
Alabama	Tuscaloosa County	2011	196638
Alabama	Tuscaloosa County	2012	198543
Alabama	Tuscaloosa County	2013	200615
Alabama	Tuscaloosa County	2014	202519
Alabama	Tuscaloosa County	2015	203976
Alabama	Tuscaloosa County	2010	72069
Alabama	Tuscaloosa County	2011	72378
Alabama	Tuscaloosa County	2012	72507
Alabama	Tuscaloosa County	2013	72622
Alabama	Tuscaloosa County	2014	72426
Alabama	Tuscaloosa County	2015	71989
Alabama	Walker County	2010	67004
Alabama	Walker County	2011	66641
Alabama	Walker County	2012	66184
Alabama	Walker County	2013	65929
Alabama	Walker County	2014	65567
Alabama	Walker County	2015	65294
Alabama	Walker County	2010	41197
Alabama	Walker County	2011	40972
Alabama	Walker County	2012	40693
Alabama	Walker County	2013	40533
Alabama	Walker County	2014	40313
Alabama	Walker County	2015	40148
Alabama	Washington County	2010	17610
Alabama	Washington County	2011	17336
Alabama	Washington County	2012	17115
Alabama	Washington County	2013	16869
Alabama	Washington County	2014	16863
Alabama	Washington County	2015	16804
Alabama	Washington County	2010	15537
Alabama	Washington County	2011	15293
Alabama	Washington County	2012	15097
Alabama	Washington County	2013	14877
Alabama	Washington County	2014	14872
Alabama	Washington County	2015	14817
Alabama	Wilcox County	2010	11557
Alabama	Wilcox County	2011	11488
Alabama	Wilcox County	2012	11365
Alabama	Wilcox County	2013	11210
Alabama	Wilcox County	2014	11052
Alabama	Wilcox County	2015	11059
Alabama	Wilcox County	2010	8250
Alabama	Wilcox County	2011	8194
Alabama	Wilcox County	2012	8109
Alabama	Wilcox County	2013	7997
Alabama	Wilcox County	2014	7881
Alabama	Wilcox County	2015	7882
Alabama	Winston County	2010	24401
Alabama	Winston County	2011	24340
Alabama	Winston County	2012	24176
Alabama	Winston County	2013	24154
Alabama	Winston County	2014	24101
Alabama	Winston County	2015	23877
Alabama	Winston County	2010	17394
Alabama	Winston County	2011	17353
Alabama	Winston County	2012	17235
Alabama	Winston County	2013	17216
Alabama	Winston County	2014	17176
Alabama	Winston County	2015	17009
Arizona	Apache County	2010	71766
Arizona	Apache County	2011	72387
Arizona	Apache County	2012	72946
Arizona	Apache County	2013	71953
Arizona	Apache County	2014	71858
Arizona	Apache County	2015	71474
Arizona	Apache County	2010	61409
Arizona	Apache County	2011	61956
Arizona	Apache County	2012	62409
Arizona	Apache County	2013	61569
Arizona	Apache County	2014	61489
Arizona	Apache County	2015	61168
Arizona	Cochise County	2010	131809
Arizona	Cochise County	2011	132996
Arizona	Cochise County	2012	131888
Arizona	Cochise County	2013	129605
